[INFO] Loading MNIST dataset... Done. (Train Batches: 938)
[INFO] Initial Memory: 219.56 MB | Peak Memory: 431.28 MB
[INFO] Model initialized with 693,714 parameters.

[TRAIN] EPOCH 1/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 2.3025 | Grad: 0.14 | Mem: 278.8 MB
   Step 301/938 ( 32.1%) | Loss: 1.8486 | Grad: 0.97 | Mem: 277.2 MB
   Step 351/938 ( 37.4%) | Loss: 1.3299 | Grad: 1.43 | Mem: 277.2 MB
   Step 401/938 ( 42.8%) | Loss: 1.1117 | Grad: 1.50 | Mem: 277.2 MB
   Step 451/938 ( 48.1%) | Loss: 0.7494 | Grad: 1.53 | Mem: 277.2 MB
   Step 501/938 ( 53.4%) | Loss: 0.5690 | Grad: 1.88 | Mem: 277.2 MB
   Step 551/938 ( 58.7%) | Loss: 0.5359 | Grad: 2.28 | Mem: 277.3 MB
   Step 601/938 ( 64.1%) | Loss: 0.3289 | Grad: 1.71 | Mem: 277.3 MB
   Step 651/938 ( 69.4%) | Loss: 0.5017 | Grad: 1.58 | Mem: 277.3 MB
   Step 701/938 ( 74.7%) | Loss: 0.4223 | Grad: 2.10 | Mem: 277.3 MB
   Step 751/938 ( 80.1%) | Loss: 0.2749 | Grad: 1.23 | Mem: 277.3 MB
   Step 801/938 ( 85.4%) | Loss: 0.6035 | Grad: 2.35 | Mem: 277.3 MB
   Step 851/938 ( 90.7%) | Loss: 0.2617 | Grad: 2.04 | Mem: 277.3 MB
   Step 901/938 ( 96.1%) | Loss: 0.3704 | Grad: 1.91 | Mem: 277.3 MB
   Step 938/938 (100.0%) | Loss: 0.2210 | Grad: 2.29 | Mem: 275.1 MB
[EVAL]  Validating...[RESULT] Epoch 2 Finished in 5.52s | Train Loss: 1.1505 | Test Acc: 89.78% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 3/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.3726 | Grad: 1.79 | Mem: 277.3 MB
   Step  51/938 (  5.4%) | Loss: 0.7513 | Grad: 2.27 | Mem: 277.3 MB
   Step 101/938 ( 10.8%) | Loss: 0.2216 | Grad: 1.14 | Mem: 277.3 MB
   Step 151/938 ( 16.1%) | Loss: 0.2155 | Grad: 1.60 | Mem: 277.3 MB
   Step 201/938 ( 21.4%) | Loss: 0.2973 | Grad: 1.85 | Mem: 277.3 MB
   Step 251/938 ( 26.8%) | Loss: 0.3365 | Grad: 1.50 | Mem: 277.3 MB
   Step 301/938 ( 32.1%) | Loss: 0.2379 | Grad: 1.52 | Mem: 277.3 MB
   Step 351/938 ( 37.4%) | Loss: 0.3387 | Grad: 1.69 | Mem: 277.3 MB
   Step 401/938 ( 42.8%) | Loss: 0.3731 | Grad: 2.26 | Mem: 277.3 MB
   Step 451/938 ( 48.1%) | Loss: 0.4375 | Grad: 2.43 | Mem: 277.3 MB
   Step 501/938 ( 53.4%) | Loss: 0.5667 | Grad: 2.49 | Mem: 277.3 MB
   Step 551/938 ( 58.7%) | Loss: 0.5067 | Grad: 2.78 | Mem: 277.3 MB
   Step 601/938 ( 64.1%) | Loss: 0.2509 | Grad: 1.89 | Mem: 277.3 MB
   Step 651/938 ( 69.4%) | Loss: 0.3821 | Grad: 2.18 | Mem: 277.3 MB
   Step 701/938 ( 74.7%) | Loss: 0.3289 | Grad: 1.57 | Mem: 277.3 MB
   Step 751/938 ( 80.1%) | Loss: 0.1536 | Grad: 1.78 | Mem: 277.3 MB
   Step 801/938 ( 85.4%) | Loss: 0.2204 | Grad: 1.70 | Mem: 277.3 MB
   Step 851/938 ( 90.7%) | Loss: 0.3624 | Grad: 2.97 | Mem: 277.3 MB
   Step 901/938 ( 96.1%) | Loss: 0.2221 | Grad: 1.64 | Mem: 277.3 MB
   Step 938/938 (100.0%) | Loss: 0.1653 | Grad: 2.07 | Mem: 275.2 MB
[EVAL]  Validating...[RESULT] Epoch 3 Finished in 5.16s | Train Loss: 0.3343 | Test Acc: 91.87% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 4/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.2661 | Grad: 2.44 | Mem: 277.3 MB
   Step  51/938 (  5.4%) | Loss: 0.4306 | Grad: 2.08 | Mem: 277.3 MB
   Step 101/938 ( 10.8%) | Loss: 0.3505 | Grad: 2.38 | Mem: 277.4 MB
   Step 151/938 ( 16.1%) | Loss: 0.2995 | Grad: 2.61 | Mem: 277.4 MB
   Step 201/938 ( 21.4%) | Loss: 0.2188 | Grad: 2.04 | Mem: 277.4 MB
   Step 251/938 ( 26.8%) | Loss: 0.2503 | Grad: 2.16 | Mem: 277.4 MB
   Step 301/938 ( 32.1%) | Loss: 0.2314 | Grad: 1.74 | Mem: 277.4 MB
   Step 351/938 ( 37.4%) | Loss: 0.1578 | Grad: 1.48 | Mem: 277.4 MB
   Step 401/938 ( 42.8%) | Loss: 0.3920 | Grad: 2.28 | Mem: 277.4 MB
   Step 451/938 ( 48.1%) | Loss: 0.2106 | Grad: 2.37 | Mem: 277.4 MB
   Step 501/938 ( 53.4%) | Loss: 0.3470 | Grad: 2.35 | Mem: 277.4 MB
   Step 551/938 ( 58.7%) | Loss: 0.2394 | Grad: 2.09 | Mem: 277.4 MB
   Step 601/938 ( 64.1%) | Loss: 0.4324 | Grad: 3.14 | Mem: 277.4 MB
   Step 651/938 ( 69.4%) | Loss: 0.2423 | Grad: 2.14 | Mem: 277.4 MB
   Step 701/938 ( 74.7%) | Loss: 0.1914 | Grad: 2.26 | Mem: 277.4 MB
   Step 751/938 ( 80.1%) | Loss: 0.4108 | Grad: 2.19 | Mem: 277.4 MB
   Step 801/938 ( 85.4%) | Loss: 0.2123 | Grad: 1.46 | Mem: 277.4 MB
   Step 851/938 ( 90.7%) | Loss: 0.2813 | Grad: 1.84 | Mem: 277.4 MB
   Step 901/938 ( 96.1%) | Loss: 0.5033 | Grad: 2.41 | Mem: 277.4 MB
   Step 938/938 (100.0%) | Loss: 0.5659 | Grad: 3.75 | Mem: 275.3 MB
[EVAL]  Validating...[RESULT] Epoch 4 Finished in 5.48s | Train Loss: 0.2645 | Test Acc: 93.23% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 5/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.1921 | Grad: 1.94 | Mem: 277.4 MB
   Step  51/938 (  5.4%) | Loss: 0.3533 | Grad: 2.90 | Mem: 277.4 MB
   Step 101/938 ( 10.8%) | Loss: 0.3821 | Grad: 2.73 | Mem: 277.4 MB
   Step 151/938 ( 16.1%) | Loss: 0.1932 | Grad: 1.64 | Mem: 277.4 MB
   Step 201/938 ( 21.4%) | Loss: 0.2759 | Grad: 2.34 | Mem: 277.4 MB
   Step 251/938 ( 26.8%) | Loss: 0.2637 | Grad: 1.88 | Mem: 277.4 MB
   Step 301/938 ( 32.1%) | Loss: 0.1887 | Grad: 2.19 | Mem: 277.4 MB
   Step 351/938 ( 37.4%) | Loss: 0.2413 | Grad: 2.69 | Mem: 277.4 MB
   Step 401/938 ( 42.8%) | Loss: 0.1867 | Grad: 1.48 | Mem: 277.4 MB
   Step 451/938 ( 48.1%) | Loss: 0.2546 | Grad: 2.74 | Mem: 277.4 MB
   Step 501/938 ( 53.4%) | Loss: 0.3497 | Grad: 2.55 | Mem: 277.4 MB
   Step 551/938 ( 58.7%) | Loss: 0.4626 | Grad: 3.17 | Mem: 277.5 MB
   Step 601/938 ( 64.1%) | Loss: 0.1999 | Grad: 1.86 | Mem: 277.5 MB
   Step 651/938 ( 69.4%) | Loss: 0.2867 | Grad: 2.39 | Mem: 277.5 MB
   Step 701/938 ( 74.7%) | Loss: 0.1376 | Grad: 1.79 | Mem: 277.5 MB
   Step 751/938 ( 80.1%) | Loss: 0.2877 | Grad: 2.45 | Mem: 277.5 MB
   Step 801/938 ( 85.4%) | Loss: 0.2601 | Grad: 2.49 | Mem: 277.5 MB
   Step 851/938 ( 90.7%) | Loss: 0.1382 | Grad: 1.42 | Mem: 277.5 MB
   Step 901/938 ( 96.1%) | Loss: 0.0748 | Grad: 1.10 | Mem: 277.5 MB
   Step 938/938 (100.0%) | Loss: 0.1196 | Grad: 2.87 | Mem: 275.3 MB
[EVAL]  Validating...[RESULT] Epoch 5 Finished in 5.39s | Train Loss: 0.2163 | Test Acc: 94.42% | Peak Mem: 431.3 MB

============================================================
[INFO] All training completed in 27.97s

[INFO] Log saved successfully to: ./logs/TorchCNN_grid_demo_k3_c8_h128_SGD_lr0.01_20251214_155211.json
